Date,Price_Bitcoin,btc_return_mo,btc_return_pa
2023-08,29119.79,-0.003186608098893373,-0.037576170137724296
2023-08,29212.88,0.00020817069997414173,0.002500910497920117
2023-07,29206.8,-0.0021997739073812417,-0.026080242830126887
2023-07,29271.19,-0.0029060003747041208,-0.034320008993867224
2023-07,29356.5,0.0004791694214931752,0.005765211108267332
2023-07,29342.44,0.006811366895267623,0.08486905389283717
2023-07,29143.93,-0.015056052110500318,-0.1664374557400088
2023-07,29589.43,0.012305617497794907,0.15808320186195535
2023-07,29229.74,0.002903057903670403,0.035398343919995856
2023-07,29145.13,-0.03316483595224129,-0.33284115350889676
2023-07,30144.88,0.010442340535005368,0.1327613799572227
2023-07,29833.35,-0.0016835287243932573,-0.02001632872139525
2023-07,29883.66,0.004931227137083605,0.06080632352478843
2023-07,29737.02,-0.007670799338870271,-0.08826368128422246
2023-07,29966.89,0.006137842767008239,0.07619211916426338
2023-07,29784.08,-0.004939541152207627,-0.05769037749577266
2023-07,29931.93,-0.011736890014695911,-0.13209735644050247
2023-07,30287.41,-0.0008890176140944339,-0.010616202387537355
2023-07,30314.36,0.003587366748328158,0.04390800728386157
2023-07,30206,-0.03759638055183845,-0.3686255956860136
2023-07,31386,0.03407239890563463,0.49489729132629434
2023-07,30351.84,-0.007420512610881724,-0.085500336341084
2023-07,30578.75,-0.006730665537147407,-0.07784413933140544
2023-07,30785.96,0.01936349464722542,0.25877734893304627
2023-07,30201.16,0.001258819110312892,0.015210854702214283
2023-07,30163.19,-0.003607905680452994,-0.04244599596015819
2023-07,30272.41,-0.0014348901286486138,-0.01708344135928752
2023-07,30315.91,-0.005074737763098414,-0.05922558363138619
2023-07,30470.54,-0.01093695427214425,-0.1236295851015422
2023-07,30807.48,-0.010321002185760042,-0.11705785084557696
2023-07,31128.76,0.01753711559721305,0.23197845727089783
2023-07,30592.26,-1.797808047065974e-05,-0.00021571563497535529
2023-07,30592.81,0.006643433842553614,0.08269961079239274
2023-06,30390.91,-0.00031413998340812377,-0.0037631734768787117
2023-06,30400.46,0.009845177132136174,0.1247540051062277
2023-06,30104.08,-0.01797898759852712,-0.19564203564338323
2023-06,30655.23,0.01631461986869387,0.21433378018587734
2023-06,30163.13,-0.007248375426549214,-0.08359536484725227
2023-06,30383.36,-0.004585998779950029,-0.05366491559108966
2023-06,30523.34,-0.013107549806426033,-0.14643240482976205
2023-06,30928.74,0.02558019929496358,0.3540525795064249
2023-06,30157.31,0.005733123453413924,0.07100881252763314
2023-06,29985.4,0.06445804774217923,1.1161312328349076
