Date,Price_Bitcoin
2022-02,39942.63
2022-02,39991.9
2022-02,40699.63
2022-02,44092.86
2022-02,43999.15
2022-02,42249.01
2022-02,42228.76
2022-02,41899.77
2022-02,42563.24
2022-02,43776.42
2022-02,44497.51
2022-02,44230.11
2022-02,44102.99
2022-02,41687.25
2022-02,41673.4
2022-02,40647.25
2022-02,36964.58
2022-02,36936.93
2022-02,38813.82
2022-01,38437.84
2022-01,37754.4
2022-01,38388.74
2022-01,37807.95
2022-01,36198.95
2022-01,36356.7
2022-01,36579.75
2022-01,36828.36
2022-01,35364.47
2022-01,35402.77
2022-01,36692.38
2022-01,41326.77
2022-01,41724.22
2022-01,42395.22
2022-01,41743.99
2022-01,42982.4
2022-01,43333.72
2022-01,43321.7
2022-01,42828.59
2022-01,43793.81
2022-01,42687.27
2022-01,41729.31
2022-01,42315.13
2022-01,41788.38
2022-01,41881.75
2022-01,43120.88
2022-01,43603.88
2022-01,46220.42
2022-01,45997.26
2022-01,47028.52
2022-01,47333.2
2021-12,46333.65
2021-12,47298.35
2021-12,47232.15
2021-12,47561.31
2021-12,50989.1
2021-12,50808.21
2021-12,50986.51
2021-12,50908.79
2021-12,50849.2
2021-12,49073.95
2021-12,49106.42
2021-12,46987.56
2021-12,46741.79
2021-12,46971.17
2021-12,46873.03
2021-12,48111.68
2021-12,49192.58
2021-12,48310.62
2021-12,46828.95
2021-12,49965.29
2021-12,48813.56
2021-12,47952.18
2021-12,47997.76
2021-12,50635.11
2021-12,50527.72
2021-12,50120.56
2021-12,49229.81
2021-12,48765.22
2021-12,53655.27
2021-12,56903.45
2021-12,57029.49
2021-11,57138.67
2021-11,58316.89
2021-11,56341.89
2021-11,54625.03
2021-11,54019.74
2021-11,58855.15
2021-11,57331.67
2021-11,57709.14
2021-11,56278.01
2021-11,59541.76
2021-11,59651.08
2021-11,57869.63
2021-11,57595.39
2021-11,60117.19
2021-11,60488.5
2021-11,63899.88
2021-11,64336.55
2021-11,64367.64
2021-11,64100.68
2021-11,65069.89
2021-11,64293.61
2021-11,67734.04
2021-11,66138.54
2021-11,62884.45
2021-11,61201.83
2021-11,60976.2
2021-11,61365.05
2021-11,62776.06
2021-11,63141.03
2021-11,60727.52
2021-10,60975.98
2021-10,61682.78
2021-10,62395.66
2021-10,61395.58
2021-10,58924.76
2021-10,62096.9
2021-10,62544.64
2021-10,61159.77
2021-10,61124.51
2021-10,60726.01
2021-10,62680.43
2021-10,65996.35
2021-10,64121.31
2021-10,61367.44
2021-10,59400.14
2021-10,61014.11
2021-10,62526.67
2021-10,57443.04
2021-10,56982.87
2021-10,55362.51
2021-10,57341.5
2021-10,55435.21
2021-10,54670.87
2021-10,53993.31
2021-10,54184.24
2021-10,54936.9
2021-10,51474.19
2021-10,49006.15
2021-10,48464.31
2021-10,48019.13
